,tweet_id,favorite_count,retweet_count,rating_numerator,breed,breed_conf,dog_stage
0,892177421306343426,33819,6514,13.0,chihuahua,0.323581,
1,891815181378084864,25461,4328,12.0,chihuahua,0.716012,
2,891689557279858688,42908,8964,13.0,labrador_retriever,0.168086,
3,891327558926688256,41048,9774,12.0,basset,0.555712,
4,891087950875897856,20562,3261,13.0,chesapeake_bay_retriever,0.425595,
5,890971913173991426,12041,2158,13.0,appenzeller,0.34170300000000003,
6,890729181411237888,56848,16716,13.0,pomeranian,0.566142,
7,890609185150312448,28226,4429,13.0,irish_terrier,0.487574,
8,890240255349198849,32467,7711,14.0,pembroke,0.511319,doggo
9,890006608113172480,31166,7624,13.0,samoyed,0.957979,
10,889880896479866881,28268,5156,13.0,french_bulldog,0.377417,
11,889665388333682689,38818,8538,13.0,pembroke,0.966327,puppo
12,889638837579907072,27672,4735,12.0,french_bulldog,0.99165,
13,889531135344209921,15359,2321,13.0,golden_retriever,0.953442,puppo
14,888917238123831296,29611,4709,12.0,golden_retriever,0.714719,
15,888804989199671297,26080,4559,13.0,golden_retriever,0.46976,
16,888554962724278272,20290,3732,13.0,siberian_husky,0.700377,
17,888078434458587136,22201,3653,12.0,french_bulldog,0.995026,
18,887705289381826560,30779,5609,13.0,basset,0.821664,
19,887473957103951883,69871,18781,13.0,pembroke,0.809197,
20,887101392804085760,31061,6167,12.0,samoyed,0.733942,
21,886983233522544640,35859,8084,13.0,chihuahua,0.793469,
22,886736880519319552,12306,3443,13.0,kuvasz,0.309706,
23,886366144734445568,21524,3316,12.0,french_bulldog,0.999201,pupper
24,886258384151887873,28469,6523,13.0,pug,0.943575,
25,885984800019947520,33382,7097,12.0,blenheim_spaniel,0.972494,
26,885528943205470208,36689,6683,13.0,pug,0.369275,
27,885167619883638784,22367,4556,13.0,malamute,0.8124819999999999,
28,884925521741709313,68152,16439,12.0,italian_greyhound,0.259916,
29,884876753390489601,28514,6096,13.0,chow,0.822103,
30,884562892145688576,24765,5100,13.0,pug,0.5464060000000001,
31,884441805382717440,27478,5856,14.0,pembroke,0.993225,
32,884162670584377345,20771,3128,12.0,german_shepherd,0.707046,doggo
33,883838122936631299,22349,3586,12.0,doberman,0.610946,
34,883360690899218434,22986,3825,13.0,chow,0.987997,floofer
35,883117836046086144,37914,6949,13.0,golden_retriever,0.949562,
36,882992080364220416,24445,4122,13.0,eskimo_dog,0.466778,
37,882762694511734784,28903,5134,12.0,labrador_retriever,0.85005,pupper
38,882627270321602560,28382,6342,13.0,pembroke,0.542982,
39,882268110199369728,45880,12118,13.0,golden_retriever,0.762211,
40,882045870035918850,29900,5203,13.0,golden_retriever,0.00694063,
41,881906580714921986,24773,3533,12.0,weimaraner,0.291539,
42,881666595344535552,51522,11099,13.0,saluki,0.529012,
43,880872448815771648,21734,3989,12.0,pembroke,0.791416,
44,880465832366813184,29075,6546,12.0,golden_retriever,0.913255,
45,880221127280381952,27640,4436,12.0,chihuahua,0.238525,
46,880095782870896641,28150,4533,11.0,miniature_pinscher,0.120298,
47,879862464715927552,22667,3642,13.0,basset,0.813507,
48,879492040517615616,23822,3323,12.0,german_short-haired_pointer,0.479896,
49,879376492567855104,17099,3261,12.0,labrador_retriever,0.0334961,
50,879008229531029506,19317,2812,13.0,vizsla,0.960513,
51,878776093423087618,19763,4319,13.0,italian_greyhound,0.734684,puppo
52,878281511006478336,7913,1349,13.0,basset,0.32042,
53,878057613040115712,42876,7181,14.0,french_bulldog,0.839097,
54,877736472329191424,71144,17300,13.0,chesapeake_bay_retriever,0.8379559999999999,
55,877556246731214848,23258,3994,12.0,basset,0.995368,
56,877316821321428993,27907,5414,13.0,saluki,0.5099670000000001,
57,877201837425926144,27755,5880,12.0,pembroke,0.93112,
58,876838120628539392,21125,3506,12.0,bloodhound,0.575751,pupper
59,876484053909872640,19163,2511,13.0,golden_retriever,0.874566,
60,876120275196170240,28490,4903,13.0,bernese_mountain_dog,0.534327,
61,875747767867523072,25773,4497,13.0,labrador_retriever,0.799551,
62,875021211251597312,26022,4922,12.0,west_highland_white_terrier,0.7143189999999999,
63,874680097055178752,28439,4875,12.0,labrador_retriever,0.836052,
64,874296783580663808,26651,4308,13.0,cocker_spaniel,0.437216,pupper
65,874057562936811520,23134,4125,12.0,flat-coated_retriever,0.8321770000000001,
66,874012996292530176,35501,11007,13.0,cardigan,0.806674,puppo
67,873580283840344065,24837,4143,13.0,newfoundland,0.678537,
68,873213775632977920,7467,1667,12.0,vizsla,0.6197819999999999,pupper
69,872967104147763200,28031,5669,12.0,labrador_retriever,0.476913,doggo
70,872820683541237760,15029,3884,13.0,pug,0.99912,
71,872620804844003328,21309,3911,13.0,cocker_spaniel,0.513191,
72,872486979161796608,41606,9429,12.0,pembroke,0.931861,
73,872261713294495745,35085,6649,13.0,labrador_retriever,0.972019,
74,872122724285648897,35324,8549,12.0,pug,0.06673630000000001,
75,871879754684805121,39090,11918,13.0,shetland_sheepdog,0.969171,
76,871762521631449091,20787,3678,12.0,labrador_retriever,0.921393,pupper
77,871515927908634625,20730,3628,12.0,komondor,0.974781,doggo
78,871032628920680449,23255,3999,13.0,kelpie,0.3980530000000001,
